leaf,kernel,mode,radius,L,neighbours,count,total,key,threshold,maxPointsLeaf
284370,cube,cartesian,3,0.488311,9,9,35,1,16,128
284371,cube,cartesian,3,0.488311,14,14,34,1,16,128
284271,cube,cartesian,3,0.976621,121,121,128,0,16,128
284286,cube,cartesian,3,0.488311,8,8,34,1,16,128
284287,cube,cartesian,3,0.488311,9,29,31,0,16,128
256199,cube,cartesian,3,3.90648,12,21,22,0,16,128
256220,cube,cartesian,3,3.90648,6,21,21,0,16,128
256169,cube,cartesian,3,3.90648,1,89,98,0,16,128
256180,cube,cartesian,3,1.95324,28,57,60,0,16,128
256173,cube,cartesian,3,0.976621,24,63,63,0,16,128
256178,cube,cartesian,3,0.976621,6,26,26,0,16,128
256179,cube,cartesian,3,0.976621,12,20,20,0,16,128
251383,cube,cartesian,3,3.90648,17,118,118,0,16,128
251384,cube,cartesian,3,3.90648,2,40,40,0,16,128
251395,cube,cartesian,3,1.95324,83,83,83,0,16,128
251396,cube,cartesian,3,1.95324,7,7,40,0,16,128
251397,cube,cartesian,3,1.95324,19,19,61,0,16,128
251398,cube,cartesian,3,1.95324,40,40,40,0,16,128
251385,cube,cartesian,3,1.95324,8,8,31,0,16,128
251386,cube,cartesian,3,1.95324,48,53,53,0,16,128
251387,cube,cartesian,3,1.95324,41,42,42,0,16,128
251388,cube,cartesian,3,1.95324,12,12,20,0,16,128
251348,cube,cartesian,3,3.90648,12,55,55,0,16,128
251349,cube,cartesian,3,3.90648,0,35,35,0,16,128
251344,cube,cartesian,3,1.95324,11,11,22,0,16,128
251345,cube,cartesian,3,1.95324,59,65,65,0,16,128
251346,cube,cartesian,3,1.95324,81,85,85,0,16,128
251347,cube,cartesian,3,1.95324,17,18,19,0,16,128
251334,cube,cartesian,3,1.95324,26,26,26,0,16,128
251335,cube,cartesian,3,1.95324,13,13,19,0,16,128
251336,cube,cartesian,3,1.95324,23,23,38,0,16,128
251337,cube,cartesian,3,1.95324,41,48,48,0,16,128
251305,cube,cartesian,3,3.90648,2,34,34,0,16,128
251310,cube,cartesian,3,1.95324,6,75,75,0,16,128
