leaf,kernel,mode,radius,L,neighbours,count,total,key,threshold,maxPointsLeaf
369210,cube,cartesian,5,1.95312,8,66,66,0,16,128
369211,cube,cartesian,5,1.95312,14,39,94,0,16,128
369212,cube,cartesian,5,1.95312,19,19,57,0,16,128
369215,cube,cartesian,5,1.95312,2,2,38,0,16,128
369203,cube,cartesian,5,1.95312,28,41,47,0,16,128
369204,cube,cartesian,5,1.95312,42,42,103,0,16,128
369207,cube,cartesian,5,1.95312,62,62,74,0,16,128
369208,cube,cartesian,5,1.95312,17,63,119,0,16,128
369209,cube,cartesian,5,1.95312,25,126,126,0,16,128
369197,cube,cartesian,5,0.976562,25,25,38,1,16,128
369198,cube,cartesian,5,0.976562,13,13,23,1,16,128
369200,cube,cartesian,5,0.976562,19,19,33,1,16,128
369166,cube,cartesian,5,1.95312,31,87,87,0,16,128
369168,cube,cartesian,5,1.95312,47,47,102,0,16,128
369169,cube,cartesian,5,1.95312,32,32,107,0,16,128
369138,cube,cartesian,5,1.95312,16,48,97,0,16,128
369147,cube,cartesian,5,1.95312,51,51,126,0,16,128
369148,cube,cartesian,5,1.95312,13,28,49,0,16,128
369149,cube,cartesian,5,1.95312,16,96,96,0,16,128
369141,cube,cartesian,5,0.976562,16,16,21,0,16,128
369142,cube,cartesian,5,0.976562,24,24,31,0,16,128
369143,cube,cartesian,5,0.976562,26,26,28,0,16,128
369144,cube,cartesian,5,0.976562,41,41,46,0,16,128
369130,cube,cartesian,5,0.976562,17,17,28,1,16,128
369131,cube,cartesian,5,0.976562,19,19,37,1,16,128
369136,cube,cartesian,5,0.976562,8,8,23,1,16,128
369137,cube,cartesian,5,0.976562,19,19,37,1,16,128
369100,cube,cartesian,5,1.95312,16,16,42,0,16,128
369120,cube,cartesian,5,1.95312,10,34,34,0,16,128
369102,cube,cartesian,5,0.976562,29,38,38,0,16,128
368986,cube,cartesian,5,3.90625,11,25,27,0,16,128
368987,cube,cartesian,5,1.95312,11,43,43,0,16,128
368992,cube,cartesian,5,1.95312,4,4,23,0,16,128
368994,cube,cartesian,5,1.95312,54,92,92,0,16,128
368289,cube,cartesian,5,1.95312,2,5,81,0,16,128
368290,cube,cartesian,5,1.95312,5,5,25,0,16,128
92330,cube,cartesian,5,1.95312,61,61,61,0,16,128
92336,cube,cartesian,5,1.95312,28,51,51,0,16,128
92337,cube,cartesian,5,1.95312,29,40,40,0,16,128
92326,cube,cartesian,5,1.95312,56,56,56,0,16,128
92329,cube,cartesian,5,1.95312,51,51,51,0,16,128
92203,cube,cartesian,5,3.90625,2,17,62,0,16,128
91818,cube,cartesian,5,1.95312,16,27,27,0,16,128
91821,cube,cartesian,5,1.95312,3,16,21,0,16,128
91793,cube,cartesian,5,3.90625,5,6,92,0,16,128
91814,cube,cartesian,5,1.95312,52,52,56,0,16,128
91816,cube,cartesian,5,1.95312,5,22,24,0,16,128
91817,cube,cartesian,5,1.95312,50,50,50,0,16,128
91738,cube,cartesian,5,1.95312,36,36,58,0,16,128
91741,cube,cartesian,5,1.95312,35,35,53,0,16,128
91729,cube,cartesian,5,1.95312,3,3,32,1,16,128
91732,cube,cartesian,5,1.95312,26,26,39,0,16,128
91734,cube,cartesian,5,1.95312,4,24,39,0,16,128
91735,cube,cartesian,5,1.95312,20,20,28,0,16,128
91724,cube,cartesian,5,1.95312,0,0,48,1,16,128
91725,cube,cartesian,5,1.95312,0,16,23,0,16,128
91356,cube,cartesian,5,3.90625,15,26,28,0,16,128
91245,cube,cartesian,5,1.95312,24,24,40,1,16,128
91246,cube,cartesian,5,1.95312,11,11,21,1,16,128
91250,cube,cartesian,5,1.95312,15,41,62,0,16,128
91251,cube,cartesian,5,1.95312,25,25,42,0,16,128
91236,cube,cartesian,5,1.95312,32,32,59,1,16,128
91237,cube,cartesian,5,1.95312,10,10,24,1,16,128
91239,cube,cartesian,5,1.95312,14,34,55,0,16,128
91240,cube,cartesian,5,1.95312,32,32,52,0,16,128
91241,cube,cartesian,5,1.95312,42,42,57,0,16,128
52834,cube,cartesian,5,15.625,43,43,57,0,16,128
53275,cube,cartesian,5,15.625,0,0,36,0,16,128
53230,cube,cartesian,5,1.95312,24,45,45,0,16,128
53231,cube,cartesian,5,1.95312,17,40,40,0,16,128
53005,cube,cartesian,5,1.95312,10,10,36,1,16,128
442644,cube,cartesian,5,1.95312,30,30,30,0,16,128
442645,cube,cartesian,5,1.95312,27,27,27,0,16,128
442627,cube,cartesian,5,1.95312,11,11,38,0,16,128
442628,cube,cartesian,5,1.95312,16,16,51,0,16,128
442629,cube,cartesian,5,1.95312,44,44,44,0,16,128
442630,cube,cartesian,5,1.95312,76,76,76,0,16,128
442518,cube,cartesian,5,3.90625,32,85,86,0,16,128
442513,cube,cartesian,5,1.95312,0,2,20,0,16,128
442514,cube,cartesian,5,1.95312,42,68,68,0,16,128
442517,cube,cartesian,5,1.95312,51,67,67,0,16,128
442483,cube,cartesian,5,3.90625,41,49,107,0,16,128
442485,cube,cartesian,5,1.95312,62,81,81,0,16,128
442486,cube,cartesian,5,1.95312,23,43,43,0,16,128
442488,cube,cartesian,5,1.95312,8,8,38,0,16,128
442489,cube,cartesian,5,1.95312,5,10,81,0,16,128
442490,cube,cartesian,5,1.95312,27,33,74,0,16,128
442491,cube,cartesian,5,1.95312,1,1,20,0,16,128
442363,cube,cartesian,5,1.95312,18,30,30,0,16,128
442366,cube,cartesian,5,1.95312,16,19,69,0,16,128
442367,cube,cartesian,5,1.95312,34,34,79,0,16,128
442368,cube,cartesian,5,1.95312,40,46,80,0,16,128
442369,cube,cartesian,5,1.95312,14,30,45,0,16,128
442331,cube,cartesian,5,1.95312,1,1,103,0,16,128
442332,cube,cartesian,5,1.95312,26,34,99,0,16,128
442333,cube,cartesian,5,1.95312,11,11,105,0,16,128
442337,cube,cartesian,5,1.95312,9,22,22,0,16,128
431393,cube,cartesian,5,7.81249,5,21,113,0,16,128
431625,cube,cartesian,5,3.90625,18,18,18,0,16,128
431631,cube,cartesian,5,1.95312,2,2,23,0,16,128
431571,cube,cartesian,5,1.95312,11,11,57,0,16,128
431573,cube,cartesian,5,1.95312,0,0,58,0,16,128
431574,cube,cartesian,5,1.95312,2,2,64,0,16,128
431561,cube,cartesian,5,1.95312,9,9,65,0,16,128
431562,cube,cartesian,5,1.95312,0,0,37,0,16,128
431563,cube,cartesian,5,1.95312,1,1,39,0,16,128
431564,cube,cartesian,5,1.95312,11,11,61,0,16,128
431554,cube,cartesian,5,1.95312,0,6,105,0,16,128
431555,cube,cartesian,5,1.95312,0,3,41,0,16,128
431558,cube,cartesian,5,1.95312,47,56,56,0,16,128
431543,cube,cartesian,5,1.95312,11,17,90,0,16,128
431546,cube,cartesian,5,1.95312,15,21,68,0,16,128
431547,cube,cartesian,5,1.95312,34,39,39,0,16,128
431550,cube,cartesian,5,1.95312,24,34,34,0,16,128
431476,cube,cartesian,5,3.90625,0,0,19,0,16,128
431477,cube,cartesian,5,3.90625,33,33,54,0,16,128
431399,cube,cartesian,5,1.95312,0,13,23,0,16,128
399909,cube,cartesian,5,1.95312,2,20,86,0,16,128
399894,cube,cartesian,5,1.95312,26,38,38,0,16,128
399897,cube,cartesian,5,1.95312,12,18,29,0,16,128
399898,cube,cartesian,5,1.95312,28,28,47,0,16,128
399869,cube,cartesian,5,1.95312,19,43,48,0,16,128
399886,cube,cartesian,5,0.976562,17,17,23,1,16,128
399887,cube,cartesian,5,0.976562,9,9,24,1,16,128
399888,cube,cartesian,5,0.976562,8,8,30,1,16,128
399863,cube,cartesian,5,0.976562,19,19,27,1,16,128
399864,cube,cartesian,5,0.976562,11,11,25,1,16,128
399854,cube,cartesian,5,1.95312,35,36,36,0,16,128
399857,cube,cartesian,5,1.95312,52,63,63,0,16,128
399522,cube,cartesian,5,3.90625,0,40,41,0,16,128
399523,cube,cartesian,5,3.90625,32,70,76,0,16,128
399517,cube,cartesian,5,1.95312,0,0,17,0,16,128
399518,cube,cartesian,5,1.95312,0,23,23,0,16,128
399480,cube,cartesian,5,1.95312,0,3,25,0,16,128
399481,cube,cartesian,5,1.95312,5,21,21,0,16,128
399482,cube,cartesian,5,1.95312,34,63,63,0,16,128
399483,cube,cartesian,5,1.95312,9,11,99,0,16,128
399253,cube,cartesian,5,1.95312,5,5,87,0,16,128
399254,cube,cartesian,5,1.95312,66,90,90,0,16,128
399238,cube,cartesian,5,1.95312,5,11,91,0,16,128
399239,cube,cartesian,5,1.95312,71,128,128,0,16,128
399240,cube,cartesian,5,1.95312,103,113,113,0,16,128
399241,cube,cartesian,5,1.95312,7,7,78,0,16,128
398846,cube,cartesian,5,1.95312,23,24,24,0,16,128
